0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:03:52 +0800] "GET /Project/Standard/Standard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:03:52 +0800] "GET /Project/Standard/image/%E7%B4%94%E7%9C%9F%E5%BE%BD%E7%AB%A0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:03:52 +0800] "GET /Project/Standard/image/%E5%A2%A8%E7%B6%A0%E8%89%B2%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:03:52 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:03:52 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:03:52 +0800] "GET /Project/Standard/image/%E9%AA%B0%E5%AD%901.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:25 +0800] "GET /Project/Standard/Advanced_Search.html HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:26 +0800] "GET /Project/Standard/image/%E7%AE%AD%E9%A0%AD.png HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:26 +0800] "GET /Project/Standard/Standard.css HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:26 +0800] "GET /Project/Standard/Standard.js HTTP/1.1" 200 3200
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:26 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF3.jpg HTTP/1.1" 200 32369
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:26 +0800] "GET /Project/Standard/image/%E5%A2%A8%E7%B6%A0%E8%89%B2%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 200 40589
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:26 +0800] "GET /Project/image/%E6%B7%B1%E7%B4%85%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 200 91959
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:26 +0800] "GET /Project/Standard/image/%E9%AA%B0%E5%AD%901.png HTTP/1.1" 200 77357
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:26 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF1.jpg HTTP/1.1" 200 128162
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:35 +0800] "GET /Project/Standard/Advanced_Search2.html HTTP/1.1" 200 9213
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:36 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:28:43 +0800] "GET /Project/Standard/Catch_Standard_JSP_for_advanceSearch.jsp?type%5B%5D=%E8%87%AA%E7%84%B6 HTTP/1.1" 200 116449
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:29:02 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:30:51 +0800] "GET /Project/Standard/Catch_Standard_JSP_for_advanceSearch.jsp?type%5B%5D=%E8%87%AA%E7%84%B6 HTTP/1.1" 200 116449
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:30:55 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:31:00 +0800] "GET /Project/Standard/Catch_Standard_JSP_for_advanceSearch.jsp?type%5B%5D=%E8%87%AA%E7%84%B6&type%5B%5D=%E7%A4%BE%E6%9C%83&type%5B%5D=%E7%A7%91%E6%8A%80 HTTP/1.1" 200 10962
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:31:08 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:32:30 +0800] "GET /Project/Standard/Advanced_Search2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:32:30 +0800] "GET /Project/Standard/Standard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:32:30 +0800] "GET /Project/Standard/image/%E7%AE%AD%E9%A0%AD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:32:30 +0800] "GET /Project/Standard/Standard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:32:30 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:32:30 +0800] "GET /Project/Standard/image/%E5%A2%A8%E7%B6%A0%E8%89%B2%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:32:30 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:32:30 +0800] "GET /Project/Standard/image/%E9%AA%B0%E5%AD%901.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:32:30 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:32:30 +0800] "GET /Project/image/%E6%B7%B1%E7%B4%85%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:32:33 +0800] "GET /Project/Standard/Catch_Standard_JSP_for_advanceSearch.jsp?type%5B%5D=%E8%87%AA%E7%84%B6&type%5B%5D=%E7%A4%BE%E6%9C%83&type%5B%5D=%E7%A7%91%E6%8A%80 HTTP/1.1" 200 10962
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:18 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:19 +0800] "GET /Project/Standard/Advanced_Search2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:19 +0800] "GET /Project/Standard/Standard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:19 +0800] "GET /Project/Standard/image/%E7%AE%AD%E9%A0%AD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:19 +0800] "GET /Project/Standard/Standard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:19 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:19 +0800] "GET /Project/Standard/image/%E5%A2%A8%E7%B6%A0%E8%89%B2%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:19 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:19 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:19 +0800] "GET /Project/Standard/image/%E9%AA%B0%E5%AD%901.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:19 +0800] "GET /Project/image/%E6%B7%B1%E7%B4%85%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:38:21 +0800] "GET /Project/Standard/Catch_Standard_JSP_for_advanceSearch.jsp?type%5B%5D=%E8%87%AA%E7%84%B6&type%5B%5D=%E7%A4%BE%E6%9C%83&type%5B%5D=%E7%A7%91%E6%8A%80 HTTP/1.1" 200 10956
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:37 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:38 +0800] "GET /Project/Standard/Advanced_Search2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:38 +0800] "GET /Project/Standard/Standard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:38 +0800] "GET /Project/Standard/image/%E7%AE%AD%E9%A0%AD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:38 +0800] "GET /Project/Standard/Standard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:38 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:38 +0800] "GET /Project/Standard/image/%E5%A2%A8%E7%B6%A0%E8%89%B2%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:38 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:38 +0800] "GET /Project/Standard/image/%E9%AA%B0%E5%AD%901.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:38 +0800] "GET /Project/image/%E6%B7%B1%E7%B4%85%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:38 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:41:39 +0800] "GET /Project/Standard/Catch_Standard_JSP_for_advanceSearch.jsp?type%5B%5D=%E8%87%AA%E7%84%B6&type%5B%5D=%E7%A4%BE%E6%9C%83&type%5B%5D=%E7%A7%91%E6%8A%80 HTTP/1.1" 200 10971
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:57:51 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:57:52 +0800] "GET /Project/Standard/Advanced_Search2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:57:52 +0800] "GET /Project/Standard/Standard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:57:52 +0800] "GET /Project/Standard/image/%E7%AE%AD%E9%A0%AD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:57:52 +0800] "GET /Project/Standard/Standard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:57:52 +0800] "GET /Project/Standard/image/%E5%A2%A8%E7%B6%A0%E8%89%B2%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:57:52 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:57:52 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:57:52 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:57:52 +0800] "GET /Project/image/%E6%B7%B1%E7%B4%85%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:57:52 +0800] "GET /Project/Standard/image/%E9%AA%B0%E5%AD%901.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:12:58:01 +0800] "GET /Project/Standard/Catch_Standard_JSP_for_advanceSearch.jsp?type%5B%5D=%E8%87%AA%E7%84%B6&type%5B%5D=%E7%A4%BE%E6%9C%83&type%5B%5D=%E7%A7%91%E6%8A%80&type1%5B%5D=%E9%87%8D%E7%AD%96%E7%95%A5&type1%5B%5D=1-2%E4%BA%BA HTTP/1.1" 500 5308
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:48 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:48 +0800] "GET /Project/Standard/Advanced_Search2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:48 +0800] "GET /Project/Standard/Standard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:48 +0800] "GET /Project/Standard/image/%E7%AE%AD%E9%A0%AD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:48 +0800] "GET /Project/Standard/Standard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:48 +0800] "GET /Project/Standard/image/%E5%A2%A8%E7%B6%A0%E8%89%B2%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:48 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:48 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:50 +0800] "GET /Project/Standard/Advanced_Search2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:50 +0800] "GET /Project/Standard/Standard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:50 +0800] "GET /Project/Standard/image/%E7%AE%AD%E9%A0%AD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:50 +0800] "GET /Project/Standard/Standard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:50 +0800] "GET /Project/Standard/image/%E5%A2%A8%E7%B6%A0%E8%89%B2%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:50 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:50 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:02:56 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
